ID,TIPID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
479,5265,0.0,0.0,0.0,0.0,0.0
480,5266,0.0,0.0,0.0,0.0,0.0
481,5267,0.085,0.0,0.0,0.0,0.0
482,5268,0.0,0.0,0.0,0.0,0.0
483,5269,0.0,0.0,0.0,0.0,0.0
484,5270,0.0,0.0,0.0,0.0,0.0
485,5271,0.0,2.0,0.0,0.0,0.0
486,5272,0.0,0.0,0.0,0.0,0.0
487,5273,0.3,4.6,0.0,0.0,0.0
488,5274,0.0,0.0,0.0,0.0,0.0
489,5276,0.0,0.0,0.0,0.0,0.0
490,5277,0.0,0.0,0.0,0.0,0.0
491,5278,0.0,0.0,0.0,0.0,0.0
492,5279,0.0,0.0,0.0,0.0,0.0
493,5281,0.0,0.0,0.0,0.0,0.0
494,5284,0.0,0.0,0.0,0.0,0.0
495,5285,0.0435,0.0,0.0,0.0,0.0
496,5286,0.0,1.4,0.0,0.0,0.0
497,5287,0.0,0.0,0.0,0.0,0.0
498,5288,0.0,0.0,0.0,0.0,0.0
499,5289,0.0,0.0,0.0,0.0,0.0
500,5290,0.0,0.0,0.0,0.0,0.0
501,5291,0.0,0.0,0.0,0.0,0.0
502,5293,0.0,0.0,0.0,0.0,0.0
503,5294,0.0195,0.0,0.0,0.0,0.0
504,5296,0.0,0.5,0.0,0.0,0.0
505,5298,0.0,0.0,0.0,0.0,0.0
506,5299,0.0,0.0,0.0,0.0,0.0
507,5300,0.0,0.0,0.0,0.0,0.0
508,5301,0.0,0.0,0.0,0.0,0.0
509,5302,0.0,0.0,0.0,0.0,0.0
510,5303,0.0,0.0,0.0,0.0,0.0
511,5304,0.0,0.0,0.0,0.0,0.0
512,5306,0.0,0.0,0.0,0.0,0.0
513,5307,0.0,0.0,0.39,0.0,0.0
514,5309,0.0,0.0,0.0,0.0,0.0
515,5310,0.0,0.0,0.0,0.0,0.0
516,5311,0.0,0.0,0.0,0.0,0.0
517,5312,0.0,0.0,0.0,0.0,0.0
518,5313,0.0,0.0,0.0,0.0,0.0
519,5314,0.0,0.0,0.0,0.0,0.0
520,5315,0.0,0.0,0.0,0.0,0.0
521,5316,0.0,0.0,0.0,0.0,0.0
522,5318,0.0,0.0,0.0,0.0,0.0
523,5319,0.0,0.0,2.64,0.0,0.0
524,5320,0.0,0.0,0.0,0.0,0.0
525,5323,0.0,0.0,0.0,0.0,0.0
526,5324,0.0,0.0,0.0,0.0,0.0
527,5326,0.0,0.0,0.0,0.0,0.0
528,7000,2.2,2.2,2.2,2.2,2.2
529,7101,2.78,2.86,2.95,3.04,3.13
530,7102,1.6892,1.723,1.7575,1.7926,1.8285
531,7103,0.3,0.3,0.3,0.3,0.3
532,7104,0.1,0.1,0.1,0.1,0.1
533,7105,0.1,0.1,0.1,0.1,0.1
534,7106,0.1,0.1,0.1,0.1,0.1
535,7107,2.0,2.0,2.0,2.0,2.0
536,7108,0.5,0.5,0.5,0.5,0.5
537,7109,1.0,1.0,1.0,1.0,1.0
538,7150,1.0,2.7,2.7,2.7,2.7
539,7151,0.37,8.5,9.5,9.5,10.0
540,7201,8.0,8.0,8.0,8.0,8.0
541,7202,9.3,9.3,9.3,9.3,8.3217
542,7203,0.1,0.1,0.1,0.1,0.1
543,7301,2.0,2.0,2.0,2.0,2.0
544,7302,0.25,0.25,0.25,0.25,0.25
545,7303,0.25,0.25,0.25,0.25,0.25
546,7304,1.0,1.0,1.0,1.0,1.0
547,7305,3.7,3.72,3.74,3.76,3.78
548,7401,2.0,2.0,2.0,2.0,2.0
549,7402,1.5,1.8,1.8,1.8,1.8
550,7403,1.9,3.1,1.1,1.9,0.9
551,7404,0.5,0.25,0.25,0.25,0.25
552,7501,12.0,14.0,14.0,15.0,15.0
553,7502,5.383,6.0304,6.1812,6.3357,6.4941
554,7503,18.3961,20.0382,22.5284,30.1699,33.5137
555,7504,0.6,0.6,0.6,0.6,0.6
556,7505,3.5,3.5,3.5,3.5,3.5
557,7506,2.0,2.0,2.0,2.0,2.0
558,7507,0.5,0.5,0.5,0.5,0.5
559,7601,1.25,1.25,1.25,1.25,1.25
560,7602,0.75,0.75,0.75,0.75,0.75
561,7603,1.0,1.0,1.0,1.0,1.0
562,7604,1.6,1.6,1.6,1.6,1.6
563,7605,6.6,6.6,6.6,6.6,6.6
564,7606,0.4,0.4,0.4,0.4,0.4
565,7607,0.46,0.46,0.46,0.46,0.46
566,7608,2.9,2.9,2.9,2.9,2.9
567,7609,6.0,6.0,6.0,6.0,6.0
568,7610,0.14,0.14,0.14,0.14,0.14
569,7611,0.09,0.09,0.09,0.09,0.09
570,7612,0.4,0.4,0.4,0.4,0.4
571,7613,3.1392,0.624,0.5807,0.099,0.0
572,7614,0.0,0.0,0.0,0.0,0.0
573,7615,-9.0,-9.0,-9.0,-9.0,-9.0
574,7701,41.8833,37.8443,37.2076,31.9774,28.5158
575,7702,59.1415,59.1392,59.1415,59.1435,52.1405
576,7703,6.9,6.9,6.9,6.9,6.9
