ID,TIPID,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation
118,1361,,,,,,,,,,,,,,,,,1.65,,,,0.0,0.0,0.0,1.65
119,1362,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
120,1364,,,,,,,,,,,,,,2.4,,,,,,,0.0,0.0,0.0,2.4
121,1365,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
122,1366,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
123,1367,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
124,1368,,,,,,,,,,,,,,1.3,,,,,,,0.0,0.0,0.0,1.3
125,1369,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
126,1370,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
127,1371,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
128,1372,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
129,1373,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
130,1375,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
131,1376,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
132,1377,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
133,1378,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
134,1379,,,,,,,,,,,,,,,0.2,,,,,,0.0,0.0,0.0,0.2
135,1380,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
136,1381,,,,,,,,,,,,2.6,,,,,,,,,0.0,0.0,0.0,2.6
137,1384,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
138,1386,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
139,1387,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
140,1388,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
141,1389,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
142,1390,,,,,,,,,,,,,,2.5,,,,,,,0.0,0.0,0.0,2.5
143,1391,,,,,,,,,,,,,,,,,1.85,,,,0.0,0.0,0.0,1.85
144,1392,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
145,1393,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
146,1394,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
147,1395,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
148,1397,,,,,,,,,,,,,,0.4,,,,,,,0.0,0.0,0.0,0.4
149,1398,,,,,,,,,,,,,,0.7,,,,,,,0.0,0.0,0.0,0.7
150,1399,,,,,,,,,,,,,,4.4,,,,,,,0.0,0.0,0.0,4.4
151,1400,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
152,1401,,,,1.21,,,,,,,,,,,,,0.19,,,,0.0,0.0,0.0,1.4
153,1402,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
154,1403,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0,0.2
155,1404,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0,0.2
156,1405,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
157,1406,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
158,1407,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
159,1408,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
160,1409,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
161,1410,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
162,1411,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
163,1412,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
164,1413,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
165,1414,,,,,,,,,,,,,,0.4,,,,,,,0.0,0.0,0.0,0.4
166,1415,,,,,,,,,,,,,,6.2,,,,,,,0.0,0.0,0.0,6.2
167,1416,,,,,,,,,,,,0.2,,,,,,,,,0.0,0.0,0.0,0.2
168,1417,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
169,1418,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
170,1419,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
171,1420,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
172,1421,,,,,,,,,,,,,,,,,1.9,,,,0.0,0.0,0.0,1.9
173,1423,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
174,1424,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
175,1425,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
176,1427,,,8.5,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,8.5
177,1430,,,0.0,,,,,,,,,0.0,,,,,0.0,,,,0.0,0.0,0.0,0.0
178,1431,,,,,,,,,,,,,,,,,0.4,,,,0.0,0.0,0.0,0.4
179,1439,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
180,1444,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
181,1445,,,,,,,,,,,,0.3,,,,,,,,,0.0,0.0,0.0,0.3
182,1446,,,,,,,,,,,,0.5,,,,,,,,,0.0,0.0,0.0,0.5
183,1450,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
184,1451,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
186,1453,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
187,1454,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
188,1455,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
189,1456,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
190,1457,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
191,1458,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
192,1459,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
193,1460,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
195,1462,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
199,1466,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
200,1467,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
201,1468,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
202,1469,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
203,1470,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
209,1476,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
211,1478,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
213,1484,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,0.0,0.0
214,1485,,,,,,,,,,,,0.63,,,,,,,,,0.0,0.0,0.0,0.63
