Allocation,ID,TIPID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
0.0,135,1379,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,136,1380,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,137,1381,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.1,138,1384,,,,,,,,,,,,,,0.1,,,,,,,0.0,0.0,0.0
0.0,139,1386,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,140,1387,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.1,141,1388,,,,,,,,,,,,,,,,,0.1,,,,0.0,0.0,0.0
0.4,142,1389,,,,,,,,,,,,,,,,,0.4,,,,0.0,0.0,0.0
0.0,143,1390,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,144,1391,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,145,1392,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
1.3,146,1393,,,,,,,,,,,,,,1.3,,,,,,,0.0,0.0,0.0
0.0,147,1394,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.2,148,1395,,,,,,,,,,,,,,,,,0.2,,,,0.0,0.0,0.0
0.0,149,1397,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,150,1398,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.09,151,1399,,,,,,,,,,,,,,0.09,,,,,,,0.0,0.0,0.0
0.0,152,1400,,,0.0,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
0.0,153,1401,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,154,1402,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,155,1403,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,156,1404,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,157,1405,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,158,1406,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,159,1407,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,160,1408,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,161,1409,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,162,1410,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,163,1411,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,164,1412,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,165,1413,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,166,1414,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,167,1415,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,168,1416,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
0.0,169,1417,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,170,1418,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,171,1419,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0
0.0,172,1420,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0
