TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
5268.0,Warren,,,,,,,,,,,,,,,0.81,,,,,,,,,0.81,,161.0,
5269.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,
5270.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,,,,
5309.0,Woonsocket,,,,,,,,,,,,,,,,,,,,,,,,,,,
9007.0,"Central Falls, Cumberland, Pawtucket",,,,,,,,,,,,,,,,,,,,,,,,,,,
5020.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5068.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
5253.0,Statewide,,,,,,,,,,,,,,,2.5,,,,,,,,,2.5,,159.0,
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
5001.0,Barrington,,,,,,,,,,,,,,,0.042,,,,,,,,,0.042,,149.0,
5002.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,0.048,,167.0,0.048
5021.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,0.049,,150.0,0.049
5039.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,0.032,,168.0,0.032
5040.0,E. Providence,,,,,,,,,,,,,,,0.017,,,,,,,,,0.017,,151.0,
5059.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5088.0,Narragansett,,,,,,,,,,,,,,,0.08,,,,,,,,,0.08,,153.0,
5109.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5150.0,Pawtucket,,,,,,,,,,,,,,,,,,,,,,,,,,,
5203.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5224.0,Smithfield,,,,,,,,,,,,,,,,,,,,,,,,0.027,,169.0,0.027
5267.0,Warren,,,,,,,,,,,,,,,,,,,,,,,,0.34,,170.0,0.34
5285.0,Westerly,,,,,,,,,,,,,,,,,,,,,,,,0.087,,162.0,0.087
5294.0,Woonsocket,,,,,,,,,,,,,,,0.039,,,,,,,,,0.039,,163.0,
5011.0,"Pawtucket, Central Falls",,0.1,,,0.43,,,,,,,,,0.4,,,,,,,,,,0.93,,191.0,
5064.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5073.0,"Middletown, Newport, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
5111.0,Newport,,,,,,,,,,,,,,,,,,,,,,,,,,,
5113.0,"Newport, Middletown, Portsmouth, Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
5195.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5204.0,Providence,,,,,,,,,,,,,,,,,,,,,,35.0,,35.0,,189.0,
5208.0,Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5249.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5254.0,Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,
5255.0,Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,
5256.0,Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,
5308.0,Woonsocket,,,,,,,,,,,,,,,,,,,,,,,,,,,
5325.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
9008.0,Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,
9009.0,Statewide,,,,,,,,,,,,,,,,,,,,,,,,,,,
7109.0,Statewide,,0.5,,,,,,,,,,,,,,,,,,,,,,0.5,,9.0,
1296.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,,,,
1297.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,,,,
5004.0,Barrington,,,,,,,,,,,,,,,,,,,,,,,,,,,
1290.0,"Barrington, E. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
1298.0,"Barrington, E. Providence",,,,,,,,,,,,,,,,,,,,,,,,,,,
1300.0,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001.0,"Pawtucket, Central Falls",,,,,,,,4.0,,,,,,,,,,,,,,,,4.0,,81.0,
1301.0,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1299.0,Bristol,,,,,,,,,,,,,,,,,,,,,,,,,,,
1302.0,Burrillville,,,,,,,,,,,,,,,,,,,,,,,,,,,
1304.0,Burrillville,,,,,,,,,,,,,,,,,,,,,,,,,,,
5009.0,Burrillville,,,,,,,,,,,,,,,,,,,,,,,,,,,
5008.0,Burrillville,,,,,,,,,,,,,,,,,,,,,,,,,,,
1305.0,Central Falls,,,,,,,,,,,,,,,,,,,,,,,,,,,
1306.0,"Central Falls, Pawtucket",,,,,,,,,,,,,,,,,,,,,,,,,,,
1307.0,"Central Falls, Pawtucket, Cumberland",,,,,,,,,,,,,,,,,,,,,,,,,,,
1317.0,"Central Falls, Pawtucket, Cumberland",,,,,,,,,,,,,,,,,,,,,,,,,,,
1308.0,Charlestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1311.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
1309.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5018.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
5019.0,Coventry,,,,,,,,,,,,,,,,,,,,,,,,,,,
1313.0,"Coventry, W. Warwick",,,,,,,,,,,,,,,,,,,,,,,,,,,
1314.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1315.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,,,,
5026.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,,,,
5027.0,Cranston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1318.0,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1319.0,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1321.0,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1322.0,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
5031.0,Cumberland,,,,,,,,,,,,,,,,,,,,,,,,,,,
1284.0,E. Greenwich,,,,,,,,0.075,,,,,,,,,,,,,,,,0.075,,95.0,
5038.0,E. Greewich,,,,,,,,0.05,,,,,,,,,,,,,,,,0.05,0.0,196.0,
1323.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1326.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1272.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1273.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1295.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1324.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5050.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5048.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5041.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5046.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5049.0,E. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
1327.0,"Foster, Glocester",,,,,,,,,,,,,,,,,,,,,,,,,,,
1579.0,"Foster, Scituate",,,,,,,,,,,,,,,,,,,,,,,,,,,
1328.0,Glocester,,,,,,,,,,,,,,,,,,,,,,,,,,,
1329.0,Glocester,,,,,,,,,,,,,,,,,,,,,,,,,,,
1330.0,Glocester,,,,,,,,0.34,,,,,,,,,,,,,,,,0.34,,100.0,
1333.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1331.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1334.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1332.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1316.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
9501.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
5057.0,Hopkinton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1335.0,"Hopkinton, Richmond",,,,,,,,,,,,,,,,,,,,,,,,,,,
1336.0,Jamestown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1340.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1337.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1339.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1338.0,Johnston,,,,,,,,,,,,,,,,,,,,,,,,,,,
1341.0,"Johnston, Smithfield",,,,,,,,,,,,,,,,,,,,,,,,,,,
1275.0,"Johnston, Smithfield, Lincoln",,,,,,,,,,,,,,,,,,,,,,,,,,,
1342.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1343.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1346.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1347.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1348.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1349.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1350.0,Lincoln,,,,,,,,,,,,,,,,,,,,,,,,,,,
1276.0,"Lincoln, Cumberland",,,,,,,,,,,,,,,,,,,,,,,,,,,
1292.0,"Lincoln, N. Smithfield",,,,,,,,,,,,,,,,,,,,,,,,,,,
1353.0,Little Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1354.0,Little Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1351.0,Little Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1352.0,Little Compton,,,,,,,,,,,,,,,,,,,,,,,,,,,
1355.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1357.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1359.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1358.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5070.0,Middletown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1360.0,"Middletown, Portsmouth",,,,,,,,,,,,,,,,,,,,,,,,,,,
1366.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1367.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1368.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1365.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5126.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5326.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
5121.0,N. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,,,
1283.0,"N. Kingstown, E. Greenwich",,,,,,,,,,,,,,,,,,,,,,,,,,,
5129.0,N. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
5130.0,N. Providence,,,,,,,,,,,,,,,,,,,,,,,,,,,
9502.0,N. Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1293.0,N. Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1369.0,N. Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1370.0,N. Smithfield,,,,,,,,,,,,,,,,,,,,,,,,,,,
1371.0,"N. Smithfield, Lincoln",,,,,,,,,,,,,,,,,,,,,,,,,,,
1372.0,"N. Smithfield, Woonsocket",,,,,,,,,,,,,,,,,,,,,,,,,,,
1361.0,Narragansett,,,,,,,,,,,,,,,,,,,,,,,,,,,
1362.0,Narragansett,,,,,,,,,,,,,,,,,,,,,,,,,,,
5090.0,Narragansett,,,,,,,,,,,,,,,,,,,,,,,,,,,
5091.0,Narragansett,,,,,,,,,,,,,,,,,,,,,,,,,,,
5101.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5100.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5104.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5099.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
5103.0,New Shoreham,,,,,,,,,,,,,,,,,,,,,,,,,,,
