TIPID,Municipalities,ID,LineItemName,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation
5111.0,Newport,656.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5113.0,"Newport, Middletown, Portsmouth, Providence",657.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5195.0,Providence,435.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5204.0,Providence,441.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5208.0,Providence,672.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5249.0,S. Kingstown,468.0,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5254.0,Statewide,470.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5255.0,Statewide,471.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5256.0,Statewide,472.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5308.0,Woonsocket,690.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
5325.0,S. Kingstown,,,,,,,,,,,,,,,,,,,,,,,,,
9008.0,Statewide,693.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
9009.0,Statewide,694.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
7109.0,Statewide,537.0,,1.0,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.0
1296.0,Barrington,60.0,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0
1297.0,Barrington,61.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
5004.0,Barrington,308.0,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0
1290.0,"Barrington, E. Providence",54.0,,,,,,,,,,,,,,0.6,,,,,,,0.0,0.0,0.0,0.6
1298.0,"Barrington, E. Providence",62.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
1300.0,Bristol,64.0,,,,,,,,,,,,,,0.8,,,,,,,0.0,0.0,0.0,0.8
2001.0,"Pawtucket, Central Falls",,,,,,,,,,,,,,,,,,,,,,,,,
1301.0,Bristol,65.0,,,,,,,,,,,,,,0.0,,,,,,,0.0,0.0,0.0,0.0
