TIPID,Municipalities,ID_x,FY17GasTax,FY17RICAPHIP,FY17RIHMA,FY17RICAPprojects,FY17RICAPfacilities,FY17ProjectCloseouts,FY17IWAYLandSales,FY17GARVEE,FY17TollRevenue,FY17RailwayProgram,FY17HSIP,FY17TAP,FY17NHPP,FY17CMAQ,FY17Planning,FY17STP,FY17NationalFreight,FY17NHTSA,FY17FTA,FY17Earmarks,FY17TollCredits,FY17TransitBond,FY17allocation,ID_y,LineItemName_x,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond,FY18Allocation,ID_x,LineItemName_y,FY19GasTax,FY19RICAPHIP,FY19RIHMA,FY19RICAPprojects,FY19RICAPfacilities,FY19ProjectCloseouts,FY19IWAYLandSales,FY19GARVEE,FY19TollRevenue,FY19RailwayProgram,FY19HSIP,FY19TAP,FY19NHPP,FY19CMAQ,FY19Planning,FY19STP,FY19NationalFreight,FY19NHTSA,FY19FTA,FY19Earmarks,FY19TollCredits,FY19TransitBond,FY19allocation,ID_y,LineItemName,FY20GasTax,FY20RICAPHIP,FY20RIHMA,FY20RICAPprojects,FY20RICAPfacilities,FY20ProjectCloseouts,FY20IWAYLandSales,FY20GARVEE,FY20TollRevenue,FY20RailwayProgram,FY20HSIP,FY20TAP,FY20NHPP,FY20CMAQ,FY20Planning,FY20STP,FY20NationalFreight,FY20NHTSA,FY20FTA,FY20Earmarks,FY20TollCredits,FY20TransitBond,FY20allocation,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
5280.0,Warwick,1311,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,686,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,685,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,686,,,,,
5291.0,Westerly,1126,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,502,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,501,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,501,,,,,,,,,,,,,,,,,0.0,,,,0.0,0.0,0.0,0.0,501,0.0,0.0,0.0,0.0,0.0
5293.0,Woonsocket,1127,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,503,,,,0.4,,,,,,,,,1.21,,,,,,,,0.0,0.0,0.0,1.61,502,,,,2.43,,,,,,,,,1.21,,,,,,,,0.0,0.0,0.0,3.64,502,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,502,0.0,0.0,0.0,0.0,0.0
5318.0,Woonsocket; N. Smithfield,1147,,,2.48,,,,,,,,,,,,,,,,,0.0,0.0,0.0,2.48,523,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,522,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,522,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,522,0.0,0.0,0.0,0.0,0.0
5319.0,Woonsocket; N. Smithfield,1148,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,524,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,523,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,523,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,523,0.0,0.0,2.64,0.0,0.0
5320.0,Woonsocket; N. Smithfield,1149,,0.23,,,,,,,,,,1.18,,,,,,,,0.0,0.0,0.0,1.41,525,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,524,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,524,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,524,0.0,0.0,0.0,0.0,0.0
9001.0,Coventry,1220,,,1.56,,,,,,,,,,,,,,,,,0.0,0.0,0.0,1.56,596,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,595,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,595,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,596,0.0,0.0,0.0,0.0,0.0
9002.0,Coventry,1221,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,597,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,596,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,596,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,597,0.0,0.0,2.75,2.75,0.0
9003.0,Newport,1222,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,598,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,597,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,597,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,598,1.44,2.16,2.16,1.44,0.0
9004.0,Newport,1316,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,691,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,691,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,690,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,691,,,,,
