TIPID,Municipalities,ID,FY21allocation,FY22allocation,FY23allocation,FY24allocation,FY25allocation
1391.0,Scituate,143,0.0,0.0,0.0,0.0,0.0
1392.0,Scituate,144,0.0,0.0,0.4,4.4,0.0
1388.0,Scituate,140,0.0,0.0,0.0,0.0,0.0
1389.0,Scituate,141,0.0,0.0,0.0,0.0,0.0
1390.0,Scituate,142,0.0,0.0,0.0,0.0,0.0
1393.0,"Scituate, Johnston",145,0.0,0.0,0.0,0.0,0.0
5230.0,Smithfield,457,0.0,0.0,0.0,0.0,0.0
5233.0,Smithfield,460,0.0,0.0,0.0,0.0,0.0
5234.0,Smithfield,461,0.0,0.0,0.0,0.0,0.0
5227.0,Smithfield,455,0.0,0.0,0.0,0.0,0.0
5238.0,Smithfield,464,0.0,0.0,0.0,0.0,0.0
1394.0,"Smithfield, N. Providence",146,0.0,0.0,0.0,0.4,4.3
1578.0,"Smithfield, N. Smithfield, Burrillville, N. Providence",304,0.0,0.0,0.0,0.85,4.4
1402.0,Tiverton,153,0.0,0.3,2.5,0.0,0.0
1404.0,Tiverton,155,1.6,0.0,0.0,0.0,0.0
1405.0,Tiverton,156,0.0,0.0,0.3,3.3,0.0
1287.0,Tiverton,52,0.0,0.0,0.0,0.5,5.0
1403.0,Tiverton,154,4.1,0.0,0.0,0.0,0.0
5261.0,Tiverton,476,0.0,0.0,0.0,0.0,0.0
5257.0,Tiverton,473,0.0,0.0,0.0,0.0,0.0
5259.0,Tiverton,474,0.0,0.0,0.0,0.0,0.0
1417.0,W. Warwick,168,0.0,1.3,0.15,0.5,0.0
1408.0,Warren,159,0.0,0.0,0.1,0.6,0.0
1409.0,Warren,160,0.0,0.0,0.6,3.4,3.2
1406.0,Warren,157,0.0,0.0,0.0,0.1,1.1
1407.0,Warren,158,0.0,0.0,0.0,0.15,1.25
1294.0,Warwick,58,0.0,0.0,0.0,0.1,2.2
9504.0,Warwick,622,0.0,0.0,0.0,0.0,0.0
1410.0,Warwick,161,0.0,0.0,0.4,4.0,0.0
1411.0,Warwick,162,0.4,3.6,0.0,0.0,0.0
1412.0,Warwick,163,0.0,0.0,0.0,0.2,2.5
1413.0,Warwick,164,0.0,0.0,0.0,0.5,4.2
1414.0,Warwick,165,3.2,0.0,0.0,0.0,0.0
1267.0,Warwick,34,0.0,0.0,0.0,0.0,0.0
1268.0,Warwick,35,0.0,0.0,0.0,0.0,0.0
5274.0,Warwick,488,0.0,0.0,0.0,0.0,0.0
5273.0,Warwick,487,0.3,4.6,0.0,0.0,0.0
1274.0,"Warwick, Cranston, Johnston",41,0.0,0.0,0.5,6.8,11.2
1416.0,"Warwick, W. Warwick",167,1.3,0.0,0.0,0.0,0.0
1415.0,"Warwick,Cranston",166,0.0,0.0,0.0,0.0,0.0
1421.0,Westerly,172,0.0,0.0,0.0,0.0,0.0
1420.0,Westerly,171,0.0,0.0,0.0,0.2,1.8
1418.0,Westerly,169,0.0,0.0,0.0,0.0,0.0
1289.0,Westerly,53,0.0,0.3,5.4,0.0,0.0
1419.0,Westerly,170,0.0,0.0,0.0,0.0,0.0
5289.0,Westerly,499,0.0,0.0,0.0,0.0,0.0
5287.0,Westerly,497,0.0,0.0,0.0,0.0,0.0
5288.0,Westerly,498,0.0,0.0,0.0,0.0,0.0
1423.0,"Westerly, Charlestown",173,0.0,0.0,0.5,4.4,1.1
5314.0,Woonsocket,519,0.0,0.0,0.0,0.0,0.0
