TIPID,Municipalities,Allocation,ID,LineItemName,FY18GasTax,FY18RICAPHIP,FY18RIHMA,FY18RICAPprojects,FY18RICAPfacilities,FY18ProjectCloseouts,FY18IWAYLandSales,FY18GARVEE,FY18TollRevenue,FY18RailwayProgram,FY18HSIP,FY18TAP,FY18NHPP,FY18CMAQ,FY18Planning,FY18STP,FY18NationalFreight,FY18NHTSA,FY18FTA,FY18Earmarks,FY18TollCredits,FY18TransitBond
5020.0,Coventry,0.0,635,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5068.0,Lincoln,0.0,646,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5253.0,Statewide,0.578,470,,,,0.578,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5295.0,"Woonsocket, N. Smithfield, Lincoln, Central Falls, Cumberland, Pawtucket, Providence",0.0,689,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5001.0,Barrington,0.126,307,,,,0.126,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5002.0,Barrington,0.144,308,,,,0.144,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5021.0,Cranston,0.147,320,,,,0.147,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5039.0,E. Providence,0.096,335,,,,0.096,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5040.0,E. Providence,0.051,336,,,,0.051,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5059.0,Jamestown,0.0,640,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5088.0,Narragansett,0.24,358,,,,0.24,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5109.0,Newport,0.0,377,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5150.0,Pawtucket,0.0,662,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5203.0,Providence,0.0,669,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5224.0,Smithfield,0.081,454,,,,0.081,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5267.0,Warren,0.51,482,,,,0.51,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5285.0,Westerly,0.261,496,,,,0.261,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5294.0,Woonsocket,0.117,504,,,,0.117,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5011.0,"Pawtucket, Central Falls",3.53,315,,,,0.83,,,,,,,,,,,,,,,,2.7,0.0,0.0,0.0
5064.0,Jamestown,0.0,643,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5073.0,"Middletown, Newport, Portsmouth",0.0,647,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
5111.0,Newport,0.0,656,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0
