TIPID,Municipalities,FY17CMAQ,FY17Earmarks,FY17FTA,FY17GARVEE,FY17GasTax,FY17HSIP,FY17IWAYLandSales,FY17NHPP,FY17NHTSA,FY17NationalFreight,FY17Planning,FY17ProjectCloseouts,FY17RICAPHIP,FY17RICAPfacilities,FY17RICAPprojects,FY17RIHMA,FY17RailwayProgram,FY17STP,FY17TAP,FY17TollCredits,FY17TollRevenue,FY17TransitBond,FY17allocation,ID,LineItemName,ProjectName
5001.0,Barrington,,0.0,,,,,,,,,,,,,,0.042,,,,0.0,,0.0,0.042,931,,
5002.0,Barrington,,0.0,,,,,,,,,,,,,,0.048,,,,0.0,,0.0,0.048,932,,
5021.0,Cranston,,0.0,,,,,,,,,,,,,,0.049,,,,0.0,,0.0,0.049,944,,
5039.0,E. Providence,,0.0,,,,,,,,,,,,,,0.032,,,,0.0,,0.0,0.032,959,,
5040.0,E. Providence,,0.0,,,,,,,,,,,,,,0.017,,,,0.0,,0.0,0.017,960,,
5059.0,Jamestown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1265,,
5088.0,Narragansett,,0.0,,,,,,,,,,,,,,0.08,,,,0.0,,0.0,0.08,982,,
5109.0,Newport,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1001,,
5150.0,Pawtucket,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1287,,
5203.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1294,,
5224.0,Smithfield,,0.0,,,,,,,,,,,,,,0.027,,,,0.0,,0.0,0.027,1078,,
5267.0,Warren,,0.0,,,,,,,,,,,,,,0.01,,,,0.0,,0.0,0.01,1106,,
5285.0,Westerly,,0.0,,,,,,,,,,,,,,0.087,,,,0.0,,0.0,0.087,1120,,
5294.0,Woonsocket,,0.0,,,,,,,,,,,0.039,,,,,,,0.0,,0.0,0.039,1128,,
5011.0,"Pawtucket, Central Falls",,0.0,2.7,,,,,,,,,,,,,0.83,,,,0.0,,0.0,3.53,939,,
5064.0,Jamestown,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1268,,
5073.0,"Middletown, Newport, Portsmouth",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1272,,
5111.0,Newport,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1281,,
5113.0,"Newport, Middletown, Portsmouth, Providence",,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1282,,
5195.0,Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,1060,,
5204.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1066,,
5208.0,Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1297,,
5249.0,S. Kingstown,,0.0,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,0.0,1093,,
5254.0,Statewide,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1095,,
5255.0,Statewide,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1096,,
5256.0,Statewide,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1097,,
5308.0,Woonsocket,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1315,,
9008.0,Statewide,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1318,,
9009.0,Statewide,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,1319,,
7109.0,Statewide,,0.0,,,1.0,,,,,,,,,,,,,,,0.0,,0.0,1.0,1162,,
1296.0,Barrington,,0.0,,,,,,,,,,,,,,,,0.3,,0.0,,0.0,0.3,685,,
1297.0,Barrington,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,686,,
5004.0,Barrington,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,933,,
1290.0,"Barrington, E. Providence",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,679,,
1298.0,"Barrington, E. Providence",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,687,,
1300.0,Bristol,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,689,,
1301.0,Bristol,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,690,,
1299.0,Bristol,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,688,,
1302.0,Burrillville,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,691,,
1304.0,Burrillville,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,692,,
5009.0,Burrillville,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,937,,
5008.0,Burrillville,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,936,,
1305.0,Central Falls,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,693,,
1306.0,"Central Falls, Pawtucket",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,694,,
1307.0,"Central Falls, Pawtucket, Cumberland",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,695,,
1317.0,"Central Falls, Pawtucket, Cumberland",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,703,,
1308.0,Charlestown,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,696,,
1311.0,Coventry,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,698,,
1309.0,Coventry,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,697,,
5018.0,Coventry,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,942,,
5019.0,Coventry,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,943,,
1313.0,"Coventry, W. Warwick",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,699,,
1314.0,Cranston,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,700,,
1315.0,Cranston,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,701,,
5026.0,Cranston,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,948,,
5027.0,Cranston,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,949,,
1318.0,Cumberland,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,704,,
1319.0,Cumberland,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,705,,
1321.0,Cumberland,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,706,,
1322.0,Cumberland,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,707,,
5031.0,Cumberland,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,953,,
1284.0,E. Greenwich,,0.0,,,,,,6.5,,,,,,,,,,,,0.0,,0.0,6.5,674,,
5038.0,E. Greewich,,0.0,,,,,,0.45,,,,,,,,,,,,0.0,,0.0,0.45,958,,
1323.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,708,,
1325.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,710,,
1326.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,711,,
1272.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,664,,
1273.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,665,,
1295.0,E. Providence,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,684,,
1324.0,E. Providence,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,709,,
5050.0,E. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,967,,
5048.0,E. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,965,,
5041.0,E. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,961,,
5046.0,E. Providence,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,964,,
5049.0,E. Providence,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,966,,
1327.0,"Foster, Glocester",,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,712,,
1579.0,"Foster, Scituate",,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,930,,
1328.0,Glocester,,0.0,,,,,,0.2,,,,,,,,,,,,0.0,,0.0,0.2,713,,
1329.0,Glocester,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,714,,
1330.0,Glocester,,0.0,,,,,,1.6,,,,,,,,,,,,0.0,,0.0,1.6,715,,
1333.0,Hopkinton,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,0.0,0.0,718,,
1331.0,Hopkinton,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,0.0,716,,
1334.0,Hopkinton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,719,,
1332.0,Hopkinton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,717,,
1316.0,Hopkinton,,0.0,,,,,,,,,,,,,,,,1.6,,0.0,,0.0,1.6,702,,
9501.0,Hopkinton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,1244,,
5057.0,Hopkinton,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,970,,
1335.0,"Hopkinton, Richmond",,0.0,,,,,,,,,,0.1,,,,,,,,0.0,,0.0,0.1,720,,
1336.0,Jamestown,,0.0,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,0.0,721,,
