TIPID,Municipalities,BridgeGroup,FY16CMAQ,FY16FTA,FY16GARVEE,FY16GasTax,FY16HSIP,FY16IWAYLandSales,FY16NHPP,FY16NHTSA,FY16NationalFreight,FY16Planning,FY16ProjectCloseouts,FY16RICAPFacilities,FY16RICAPHIP,FY16RIHMA,FY16RailwayProgram,FY16STBGSA,FY16STP,FY16TAP,FY16TIGER,FY16TollRevenue,FY16TransitHubBond,FY16UnallocatedBonds,FY16allocation,FY16other,ID,RICAPProjects
1116.0,,,,,,,,,,,,,,,,,,,1.8,,,,,,1.8,,45,
1117.0,,,,,,0.15,,,,,,,,,,,,,,,,,,,0.15,,46,
1118.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,47,
7401.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,48,
7402.0,,,,,,,,,,,,,,,,0.1,,,,,,,,,0.1,,49,
7403.0,,,,,,,,,,,,,,,,2.4,,,,,,,,,2.4,,50,
7404.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,51,
7501.0,,,,,,,,,,,,,,,,12.4,,,,,,,,,12.4,,52,
7502.0,,,,,,,,,,,,,,,,5.2,,,,,,,,,5.2,,53,
7503.0,,,,,,,,,,,,,,,,17.0601,,,,,,,,,17.0601,,54,
7504.0,,,,,,0.6,,,,,,,,,,,,,,,,,,,0.6,,55,
7505.0,,,,,,,,,3.5,,,,,,,,,,,,,,,,3.5,,56,
7506.0,,,,,,,,,0.5,,,,,,,,,,1.5,,,,,,2.0,,57,
7601.0,,,,,,1.25,,,,,,,,,,,,,,,,,,,1.25,,58,
7602.0,,,,,,0.75,,,,,,,,,,,,,,,,,,,0.75,,59,
7603.0,,,,,,1.6,,,,,,,,,,,,,,,,,,,1.6,,60,
7604.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0,,61,
7605.0,,,,,,1.6,,,,,,,,,,,,,,,,,,,1.6,,62,
7606.0,,,,,,0.4,,,,,,,,,,,,,,,,,,,0.4,,63,
7607.0,,,,,,0.46,,,,,,,,,,,,,,,,,,,0.46,,64,
7608.0,,,,,,2.9,,,,,,,,,,,,,,,,,,,2.9,,65,
7609.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,66,
7610.0,,,,,,0.14,,,,,,,,,,,,,,,,,,,0.14,,67,
761.0,,,,,,0.09,,,,,,,,,,,,,,,,,,,0.09,,68,
7612.0,,,,,,0.4,,,,,,,,,,,,,,,,,,,0.4,,69,
7613.0,,,,,,6.0,,,,,,,,,,,,,,,,,,,6.0,,70,
7614.0,,,,,,5.0,,,,,,,,,,,,,,,,,,,5.0,,71,
7615.0,,,,,,-9.0,,,,,,,,,,,,,,,,,,,-9.0,,72,
7701.0,,,,,,46.0113,,,,,,,,,,,,,,,,,,,46.0113,,73,
7702.0,,,,,,,,,12.683,,,,,,,0.387,,,,,,,,,13.07,,74,
7703.0,,,,,,7.2,,,,,,,,,,,,,,,,,,,7.2,,75,
11001.0,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,76,
11003.0,,,,,,,,,,,,1.7,,,,,,,,,,,,,1.7,,77,
1427.0,,,,,,1.0,,,0.661,,,,,,,,,,,,,,,,1.6612,,78,
1264.0,,,,,,0.07,,,5.53,,,,,,5.97,,,,,,,,,,12.93,,79,1.36
1265.0,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,2.5,,80,0.5
1363.0,,,,,,,,,0.2,,,,,,,,,,,,,,,,0.2,,103,
1430.0,,,,,,,1.2053,,,,,,,,,,,,0.024,,,,,,1.5367,,105,0.3073
1431.0,,,,,,,,,,,,,,,,,,,0.4,,,,,,0.4,,106,
9610.0,,,,,,,,,,,,,,,,1.18,,,0.42,,,,,,1.6,,110,
1438.0,,,,,,,1.1,,,,,,,,,,,,,,,,,,1.1,,113,
1444.0,,,,,,,2.52,,,,,,,,,,,,,,,,,,2.52,,118,
1445.0,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,119,
1446.0,,,,,,,0.5,,,,,,,,,,,,,,,,,,0.5,,120,
1447.0,,,,,,,0.75,,,,,,,,,,,,,,,,,,0.75,,121,
9601.0,,,,,,,0.2,,,,,,,,,,,,,,,,,,0.2,,125,
1457.0,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,128,
9604.0,,,,,,,0.1,,,,,,,,,,,,,,,,,,0.1,,131,
9605.0,,,,,,,,,,,,,,,,,,,0.0563,,,,,,0.0563,,132,
1468.0,,,,,,,,,,,,,,,,,,,0.1125,,,,,,0.1125,,134,
1470.0,,,,,,,0.075,,,,,,,,,,,,,,,,,,0.075,,136,
9602.0,,,,,,,0.075,,,,,,,,,,,,,,,,,,0.075,,137,
9612.0,,,,,,,0.1125,,,,,,,,,,,,,,,,,,0.1125,,138,
1478.0,,,,,,,0.0563,,,,,,,,,,,,,,,,,,0.0563,,140,
9608.0,,,,,,,0.0563,,,,,,,,,,,,,,,,,,0.0563,,141,
9302.0,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.75,,145,
9303.0,,,,,,,,,,,,,,,,0.75,,,,,,,,,0.75,,146,
9304.0,,,,,,,,,,,,,,,,0.8,,,,,,,,,0.8,,147,
9308.0,,,,,,,,,,,,,,,,0.5,,,,,,,,,0.5,,148,
9011.0,,,,,,,,,,,,,,,,,,,,,,,,,0.28,,171,0.28
7801.0,,,,,,0.4,,,,,,,,,,,,,,,,,,,0.4,,172,
7802.0,,,,,,2.2,,,,,,,,,,,,,,,,,,,2.2,,173,
7803.0,,,,,,2.1,,,,,,,,,,,,,,,,,,,2.1,,174,
7804.0,,,,,,2.4,,,,,,,,,,,,,,,,,,,2.4,,175,
7805.0,,,,,,0.024,,,,,,0.096,,,,,,,,,,,,,0.12,,176,
7806.0,,,,,,,,,,,,,,,,,,,0.6,,,,,,0.6,,177,
7807.0,,,,,,0.12,,,,,,,,,,,,,,,,,,,0.12,,178,
7808.0,,,,,,0.6601,,,,,,2.6405,,,,,,,,,,,,,3.3006,,179,
7809.0,,,,,,,,,,,,0.13,,,,,,,,,,,,,0.13,,180,
7810.0,,,,,,,,,1.3378,,,,,,,,,,,,,,,,1.3378,,181,
7811.0,,,,0.0,,0.4,,,,,,1.6,,,,,,,,,,,,,2.0,,182,
7902.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,184,
7903.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,185,
7906.0,,,,,,,,,,,,,,0.1,,,,,,,,,,,0.1,,187,
8000.0,,,,,38.0,,,,,,,,,,,,,,,,,,,,38.0,,188,
7611.0,,,,,,0.09,,,,,,,,,,,,,,,,,,,0.09,0.0,195,
9500.0,,6/10 Project,,,195.7,,,,,,,,,,,,,,,,,,,,195.7,,1,
802.0,,Projects Currently Under Construction,,,,,,,,,,,10.0,,,,,,,,,,,,10.0,,2,
883.0,,Bridge Group 02T (D),,,0.5,,,,,,,,,,,,,,,,,,,,0.5,,3,
817.0,,Bridge Group 05,,,,,,,,,3.627,,,,,,,,,,,,,,3.627,,4,
885.0,,Bridge Group 05TB (B2),,,0.6,,,,,,,,,,,,,,,,,,,,0.6,,5,
886.0,,Bridge Group 05TC (C),,,7.6,,,,,,,,,,,,,,,,,,,,7.6,,6,
887.0,,Bridge Group 07T (A),,,2.8,,,,,,,,,,,,,,,,,,,,2.8,,7,
821.0,,Bridge Group 09,,,,,,,0.1557,,,,,,,,,,0.0667,,,,,,0.2225,,8,
888.0,,Bridge Group 09TG (G),,,2.4,,,,,,,,,,,,,,,,,,,,2.4,,9,
889.0,,Bridge Group 09TH (H),,,4.3,,,,,,,,,,,,,,,,,,,,4.3,,10,
823.0,,Bridge Group 11,,,,,,,2.3047,,,,,,,,,,0.3292,,,,,,2.634,,11,
824.0,,Bridge Group 12,,,,,,,3.302,,,,,,,,,,0.762,,,,,,4.064,,12,
890.0,,Bridge Group 16T (M),,,1.2,,,,,,,,,,,,,,,,,,,,1.2,,13,
841.0,,Bridge Group 30,,,,,,,3.23,,,,,,,,,,,,,,,,3.23,,14,
